schedule,sigma,mse,mode_error
linear_gamma_as_ve,16.499075733496387,4.649779796600342,0.423828125
linear_gamma_as_ve,18.16539332549472,4.5039777755737305,0.423828125
linear_gamma_as_ve,19.999999999999996,4.899743556976318,0.47265625
hang_laplace_lambda_b0.5,0.010000000000000005,0.23700766265392303,0.0
hang_laplace_lambda_b0.5,0.01100994602298563,0.1946292519569397,0.0
hang_laplace_lambda_b0.5,0.012121891142905695,0.1663065254688263,0.00390625
hang_laplace_lambda_b0.5,0.013346136717989924,0.12166596949100494,0.0
hang_laplace_lambda_b0.5,0.01469402448804556,0.09236171096563339,0.0
hang_laplace_lambda_b0.5,0.01617804164738105,0.06944714486598969,0.0
hang_laplace_lambda_b0.5,0.01781193652952788,0.06337419152259827,0.0
